,P_NAME,P_DETECTION,P_DISCOVERY_FACILITY,P_YEAR,P_UPDATE,P_MASS,P_MASS_ERROR_MIN,P_MASS_ERROR_MAX,P_MASS_LIMIT,P_MASS_ORIGIN,P_RADIUS,P_RADIUS_ERROR_MIN,P_RADIUS_ERROR_MAX,P_RADIUS_LIMIT,P_PERIOD,P_PERIOD_ERROR_MIN,P_PERIOD_ERROR_MAX,P_PERIOD_LIMIT,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_ERROR_MIN,P_SEMI_MAJOR_AXIS_ERROR_MAX,P_SEMI_MAJOR_AXIS_LIMIT,P_ECCENTRICITY,P_ECCENTRICITY_ERROR_MIN,P_ECCENTRICITY_ERROR_MAX,P_ECCENTRICITY_LIMIT,P_INCLINATION,P_INCLINATION_ERROR_MIN,P_INCLINATION_ERROR_MAX,P_INCLINATION_LIMIT,P_OMEGA,P_OMEGA_ERROR_MIN,P_OMEGA_ERROR_MAX,P_OMEGA_LIMIT,S_NAME,S_NAME_HD,S_NAME_HIP,S_TYPE,S_RA,S_DEC,S_RA_STR,S_DEC_STR,S_MAG,S_MAG_ERROR_MIN,S_MAG_ERROR_MAX,S_DISTANCE,S_DISTANCE_ERROR_MIN,S_DISTANCE_ERROR_MAX,S_TEMPERATURE,S_TEMPERATURE_ERROR_MIN,S_TEMPERATURE_ERROR_MAX,S_TEMPERATURE_LIMIT,S_MASS,S_MASS_ERROR_MIN,S_MASS_ERROR_MAX,S_MASS_LIMIT,S_RADIUS,S_RADIUS_ERROR_MIN,S_RADIUS_ERROR_MAX,S_RADIUS_LIMIT,S_METALLICITY,S_METALLICITY_ERROR_MIN,S_METALLICITY_ERROR_MAX,S_METALLICITY_LIMIT,S_AGE,S_AGE_ERROR_MIN,S_AGE_ERROR_MAX,S_AGE_LIMIT,S_LOG_LUM,S_LOG_LUM_ERROR_MIN,S_LOG_LUM_ERROR_MAX,S_LOG_LUM_LIMIT,S_LOG_G,S_LOG_G_ERROR_MIN,S_LOG_G_ERROR_MAX,S_LOG_G_LIMIT,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_FLUX_MIN,P_FLUX_MAX,P_TEMP_EQUIL,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,P_TEMP_SURF,P_TEMP_SURF_MIN,P_TEMP_SURF_MAX,P_TYPE,S_TYPE_TEMP,S_RA_TXT,S_DEC_TXT,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_HZ_CON0_MIN,S_HZ_CON0_MAX,S_HZ_CON1_MIN,S_HZ_CON1_MAX,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,P_ESI,S_CONSTELLATION,S_CONSTELLATION_ABR,S_CONSTELLATION_ENG
1,GJ 357 c,Radial Velocity,Multiple Observatories,2019,7/29/2019,3.4,-0.46,0.46,0,Msini,1.66,,,0,9.1247,-0.001,0.0011,0,0.061,-0.004,0.004,0,,,,0,,,,0,,,,0,GJ 357,,HIP 47103,M2.5 V,144.00746,-21.665063,09h36m01.79s,-21d39m54.23s,10.91,-0.1,0.1,9.44181,-0.00511,0.00511,3505.0,-51.0,51.0,0,0.34,-0.01,0.01,0,0.34,-0.02,0.02,0,-0.12,-0.16,0.16,0,,,,0,-1.798,-0.01,0.01,0,4.94,-0.07,0.07,0,1.4311509,2.0481928,1.2338511,0.74328378,0.001314564,0.061,0.061,0.061,0.061,4.2789807,4.2789807,4.2789807,366.38256,366.38256,366.38256,413.77153,413.77153,413.77153,Superterran,M,09 36 01.79,-21 39 54.23,0.015922087,0.10319869,0.26773515,0.13071604,0.25383224,0.13858076,0.25383224,0.1261758,0.25383224,0.34069343,0.028517873,0.32199127,0,0,Hot,0,0.52704265,Hydra,Hya,Water Snake
2,TOI-904 c,Transit,Transiting Exoplanet Survey Satellite (TESS),2023,3/4/2024,5.34,,,0,M-R relationship,2.167,-0.118,0.13,0,83.9997,-0.0007,0.0006,0,0.312,-0.058,0.023,0,,,,0,89.83,-0.2,0.13,0,,,,0,TOI-904,,,,89.371273,-83.129726,05h57m29.11s,-83d07m47.02s,12.588,-0.069,0.069,46.0891,-0.0349,0.0349,3770.2,-70.0,70.0,0,0.56,-0.03,0.03,0,0.53,-0.02,0.02,0,0.022,-0.09,0.09,0,1.5,-0.2,0.2,0,-1.292,-0.117,0.092,0,4.62,-0.24,0.24,0,1.5697886,2.4642363,1.1371649,0.52476459,0.006617962,0.312,0.312,0.312,0.312,0.52443397,0.52443397,0.52443397,216.7816,216.7816,216.7816,244.82075,244.82075,244.82075,Superterran,M,05 57 29.11,-83 07 47.02,0.0510505,0.18407605,0.47129288,0.2331602,0.44682228,0.24711396,0.44682228,0.22507334,0.44682228,0.61004766,0.053115831,0.31547822,1,1,Warm,2,0.65860318,Mensa,Men,Table
3,LP 791-18 c,Transit,Transiting Exoplanet Survey Satellite (TESS),2019,3/4/2024,7.1,-0.7,0.7,0,Mass,2.438,-0.096,0.096,0,4.9899093,-7.2e-06,7.4e-06,0,0.02961,-0.00036,0.00035,0,8e-05,-4e-05,4e-05,0,89.78,-0.13,0.13,0,,,,0,LP 791-18,,,M(6.1 +/- 0.7) V,165.69048,-16.406444,11h02m45.72s,-16d24m23.20s,16.91,-0.2,0.2,26.4927,-0.0638,0.064,2960.0,-55.0,55.0,0,0.14,-0.01,0.01,0,0.18,-0.01,0.01,0,-0.09,-0.19,0.19,0,0.5,,,-1,-2.638,-0.002,0.002,0,5.12,-0.09,0.09,-1,1.7065237,2.9122231,1.1945132,0.48995619,0.001096223,0.02961,0.029607631,0.029612369,0.02961,2.624963,2.6245431,2.625383,324.25039,324.23742,324.26336,366.18986,366.17522,366.20451,Superterran,M,11 02 45.72,-16 24 23.20,0.002301442,0.039461356,0.10506944,0.049982554,0.099611707,0.05301855,0.099611707,0.048240318,0.099611707,0.12952803,0.008318261,0.16548647,0,0,Hot,0,0.56647203,Crater,Crt,Cup
4,L 98-59 d,Transit,Transiting Exoplanet Survey Satellite (TESS),2019,3/4/2024,2.31,-0.45,0.46,0,Mass,1.58,-0.08,0.08,0,7.450729,-6e-06,6e-06,0,0.0506,-0.0002,0.0002,0,0.0,,,0,88.449,-0.111,0.058,0,90.0,,,0,L 98-59,,,M3 V,124.53286,-68.314466,08h18m07.89s,-68d18m52.08s,11.685,-0.017,0.017,10.6194,-0.0032,0.0032,3412.0,-49.0,49.0,0,0.31,-0.03,0.03,0,0.31,-0.01,0.01,0,-0.5,-0.5,0.5,0,0.8,,,-1,-1.948,-0.016,0.016,0,4.94,-0.06,0.06,-1,1.2091424,1.4620253,0.92533248,0.58565347,0.000988597,0.0506,0.0506,0.0506,0.0506,4.402496,4.402496,4.402496,368.99837,368.99837,368.99837,416.72568,416.72568,416.72568,Terran,M,08 18 07.89,-68 18 52.08,0.011271975,0.08692734,0.22655523,0.11010575,0.21479019,0.11674219,0.21479019,0.10627923,0.21479019,0.2866578,0.023569792,0.23327081,0,0,Hot,0,0.52714337,Volans,Vol,Flying Fish
5,HD 219134 d,Radial Velocity,Roque de los Muchachos Observatory,2015,9/20/2021,16.17,-0.64,0.64,-1,Mass,1.61,-0.02,0.02,-1,46.859,-0.028,0.028,0,0.237,-0.003,0.003,0,0.138,-0.025,0.025,0,,,,0,173.0,-10.0,10.0,0,HD 219134,HD 219134,HIP 114622,K3 V,348.3372,57.169626,23h13m20.93s,+57d10m10.65s,5.56911,-0.023,0.023,6.53127,-0.00385,0.00384,4699.0,-16.0,16.0,0,0.81,-0.03,0.03,0,0.78,-0.01,0.01,0,0.11,-0.04,0.04,0,11.0,-2.2,2.2,0,-0.577,-0.008,0.008,0,4.57,-0.02,0.02,0,3.1691447,10.043478,6.2381853,3.8746492,0.005543481,0.23925671,0.204294,0.269706,0.23756774,4.7607847,3.6409841,6.345835,374.935,351.88796,404.31691,,397.40215,456.61241,Neptunian,K,23 13 20.93,+57 10 10.65,0.26485001,0.40848035,1.000158,0.51740303,0.9482381,0.54774995,0.9482381,0.49949984,0.9482381,1.3895167,0.29624476,0.49730019,0,0,Hot,0,0.50969196,Cassiopeia,Cas,Cassiopeia
6,TOI-270 d,Transit,Transiting Exoplanet Survey Satellite (TESS),2019,3/4/2024,4.78,-0.43,0.43,0,Mass,2.133,-0.058,0.058,0,11.379573,-1.3e-05,1.3e-05,0,0.0721,-0.0005,0.0005,0,0.032,-0.023,0.023,0,89.73,-0.16,0.16,0,-6.0,-90.0,90.0,0,TOI-270,,,M,68.41608,-51.957394,04h33m39.86s,-51d57m26.62s,12.603,-0.039,0.039,22.4793,-0.01355,0.01355,3506.0,-70.0,70.0,0,0.39,-0.01,0.01,0,0.38,-0.01,0.01,0,-0.2,-0.12,0.12,0,,,,0,-1.712,-0.045,0.041,0,4.87,-0.03,0.03,0,1.4969887,2.2409752,1.0506213,0.49255568,0.001609596,0.072136915,0.0697928,0.0744072,0.072109232,3.7355275,3.5056623,3.9845452,354.08235,348.57178,359.9104,399.88037,393.65706,406.46224,Superterran,M,04 33 39.86,-51 57 26.62,0.019408859,0.11393804,0.29558236,0.14431898,0.28023341,0.15300197,0.28023341,0.13930629,0.28023341,0.37615234,0.029903715,0.33705905,0,0,Hot,0,0.5180918,Pictor,Pic,Painter's Easel
7,L 98-59 e,Radial Velocity,Multiple Observatories,2021,8/25/2021,3.06,-0.37,0.33,0,Msini,1.56,,,0,12.796,-0.019,0.02,0,0.0717,-0.0048,0.006,0,0.128,-0.076,0.108,0,,,,0,165.0,-29.0,40.0,0,L 98-59,,,M3 V,124.53286,-68.314466,08h18m07.89s,-68d18m52.08s,11.685,-0.017,0.017,10.6194,-0.0032,0.0032,3415.0,-135.0,135.0,0,0.27,-0.03,0.03,0,0.3,-0.02,0.03,0,-0.46,-0.26,0.26,0,0.8,,,-1,-1.948,-0.016,0.016,0,4.86,-0.13,0.13,-1,1.4005493,1.9615385,1.2573964,0.80602337,0.001404775,0.072287366,0.0625224,0.0808776,0.071847637,2.2107972,1.723231,2.8835582,309.66596,291.86739,331.95704,349.71904,329.61836,374.89332,Terran,M,08 18 07.89,-68 18 52.08,0.011271975,0.086924359,0.2265142,0.11010198,0.2147513,0.11673783,0.2147513,0.10627567,0.2147513,0.2866578,0.022625323,0.22277224,0,0,Hot,0,0.69173285,Volans,Vol,Flying Fish
8,GJ 1132 c,Radial Velocity,La Silla Observatory,2018,6/26/2018,2.64,-0.44,0.44,0,Msini,1.43,,,0,8.929,-0.01,0.01,0,0.0476,-0.0017,0.0017,0,0.27,,,1,,,,0,,,,0,GJ 1132,,,M4.5 V,153.70907,-47.154936,10h14m50.18s,-47d09m17.77s,13.68,-0.2,0.2,12.613,-0.007,0.007,3270.0,-140.0,140.0,0,0.18,-0.02,0.02,0,0.21,-0.01,0.01,0,-0.12,-0.15,0.15,0,5.0,,,-1,-2.359,-0.035,0.032,0,5.02,-0.02,0.02,-1,1.3587324,1.8461538,1.2910167,0.90280886,0.000850796,0.04933502,0.034748,0.060452,0.048044502,2.0055006,1.1972329,3.623601,298.90134,266.46758,351.4672,337.5621,300.93326,396.92698,Terran,M,10 14 50.18,-47 09 17.77,0.004375221,0.054240289,0.14234139,0.068702677,0.13494903,0.072854398,0.13494903,0.066312896,0.13494903,0.17859273,0.015406734,0.2641257,0,0,Hot,0,0.73238181,Vela,Vel,Sails
9,LP 791-18 d,Transit,Spitzer Space Telescope,2023,5/14/2023,0.9,-0.4,0.5,0,Mass,1.032,-0.043,0.044,0,2.753436,-1.3e-05,1.3e-05,0,0.01992,-0.00024,0.00024,0,0.0015,-0.00014,0.00014,0,89.34,-0.41,0.41,0,,,,0,LP 791-18,,,M(6.1 +/- 0.7) V,165.69048,-16.406444,11h02m45.72s,-16d24m23.20s,16.91,-0.2,0.2,26.4927,-0.0638,0.064,2960.0,-55.0,55.0,0,0.14,-0.01,0.01,0,0.18,-0.01,0.01,0,-0.09,-0.19,0.19,0,0.5,,,-1,-2.638,-0.002,0.002,0,5.12,-0.09,0.09,-1,0.93385921,0.87209302,0.84505138,0.81884824,0.000369937,0.019920022,0.01989012,0.01994988,0.019920006,5.7999176,5.7825504,5.81735,395.32564,395.02953,395.62252,446.45819,446.12378,446.79347,Terran,M,11 02 45.72,-16 24 23.20,0.002301442,0.039461356,0.10506944,0.049982554,0.099611707,0.05301855,0.099611707,0.048240318,0.099611707,0.12952803,0.008318261,0.16548647,0,0,Hot,0,0.50074413,Crater,Crt,Cup
10,LTT 3780 c,Transit,Transiting Exoplanet Survey Satellite (TESS),2020,3/4/2024,7.02,-0.67,0.69,0,Mass,2.33,-0.13,0.14,0,12.252196,-3.5e-05,3.5e-05,0,0.07673,-0.00077,0.00075,0,0.03,-0.017,0.029,0,89.08,-0.13,0.11,0,1.9,-119.9,127.7,0,LTT 3780,,,M3.5 V,154.6449,-11.717801,10h18m34.78s,-11d43m04.08s,13.14,-0.035,0.035,21.9814,-0.0402,0.0403,3360.0,-51.0,51.0,0,0.38,-0.02,0.02,0,0.38,-0.01,0.01,0,0.09,-0.16,0.16,0,,,,0,-1.777,-0.008,0.008,0,4.81,-0.04,0.04,0,1.7357637,3.0128755,1.2930796,0.5549698,0.001968068,0.076764529,0.0744281,0.0790319,0.076738635,2.839652,2.6754396,3.0166584,330.63032,325.79806,335.72311,373.39499,367.93772,379.1465,Superterran,M,10 18 34.78,-11 43 04.08,0.016710906,0.10590305,0.27671206,0.13414095,0.26234199,0.14223392,0.26234199,0.12947763,0.26234199,0.34903081,0.023069149,0.33415322,0,0,Hot,0,0.55893576,Hydra,Hya,Water Snake
11,HD 191939 g,Radial Velocity,Multiple Observatories,2022,11/14/2022,13.5,-2.0,2.0,0,Msini,3.74,,,0,284.0,-8.0,10.0,0,0.812,-0.028,0.028,0,0.03,-0.011,0.025,0,,,,0,18.0,-65.0,65.0,0,HD 191939,HD 191939,HIP 99175,G9 V,302.02562,66.850301,20h08m06.15s,+66d51m01.09s,8.97,-0.03,0.03,53.6089,-0.0731,0.0733,5348.0,-100.0,100.0,0,0.81,-0.04,0.04,0,0.94,-0.02,0.02,0,-0.15,-0.06,0.06,0,8.7,,,-1,-0.187,-0.014,0.013,0,4.3,-0.1,0.1,-1,1.8999015,3.6096257,0.96514055,0.25805897,0.020124693,0.8123654,0.78764,0.83636,0.81209138,0.98646905,0.92942316,1.0479594,253.83252,250.12269,257.74238,,282.47427,291.07951,Neptunian,G,20 08 06.15,+66 51 01.09,0.65012969,0.62034236,1.4806803,0.78574929,1.4038189,0.83123034,1.4038189,0.75853241,1.4038189,2.1770267,0.90340238,0.4782332,1,1,Warm,0,0.59122214,Draco,Dra,Dragon
12,TOI-700 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2020,2/16/2024,0.704,,,0,M-R relationship,0.914,-0.049,0.053,0,9.977219,-3.8e-05,4.1e-05,0,0.0677,-0.0011,0.0011,0,0.075,-0.054,0.093,0,89.6,-0.29,0.27,0,-150.0,-130.0,120.0,0,TOI-700,,,M2.5 V,97.095716,-65.578615,06h28m22.97s,-65d34m43.01s,13.151,-0.069,0.069,31.1265,-0.0206,0.0206,3459.0,-65.0,65.0,0,0.42,-0.02,0.02,0,0.42,-0.02,0.02,0,-0.07,-0.11,0.11,0,1.5,,,-1,-1.64,-0.046,0.047,0,4.81,-0.04,0.03,-1,0.87763358,0.7702407,0.84271411,0.92200669,0.000744087,0.067890406,0.0626225,0.0727775,0.06774769,5.0124213,4.3251954,5.8416993,380.76101,367.36785,396.03586,430.00972,414.88426,447.26027,Terran,M,06 28 22.97,-65 34 43.01,0.022908677,0.12385633,0.32205817,0.15688173,0.30533402,0.16632911,0.30533402,0.15143117,0.30533402,0.40866154,0.028273907,0.28663099,0,0,Hot,0,0.52704018,Dorado,Dor,Goldfish
13,TOI-700 e,Transit,Transiting Exoplanet Survey Satellite (TESS),2023,2/16/2024,0.818,,,0,M-R relationship,0.953,-0.075,0.089,0,27.80978,-0.0004,0.00046,0,0.134,-0.0022,0.0022,0,0.059,-0.042,0.057,0,89.6,-0.16,0.21,0,70.0,-120.0,100.0,0,TOI-700,,,M2.5 V,97.095716,-65.578615,06h28m22.97s,-65d34m43.01s,13.151,-0.069,0.069,31.1265,-0.0206,0.0206,3459.0,-65.0,65.0,0,0.42,-0.02,0.02,0,0.42,-0.02,0.02,0,-0.07,-0.11,0.11,0,1.5,,,-1,-1.64,-0.046,0.047,0,4.81,-0.04,0.03,-1,0.92646753,0.85834208,0.90067374,0.94509312,0.001575123,0.13423323,0.126094,0.141906,0.13405837,1.2780493,1.1376233,1.4408247,270.67786,263.08696,279.09528,305.68811,297.11539,315.19427,Terran,M,06 28 22.97,-65 34 43.01,0.022908677,0.12385633,0.32205817,0.15688173,0.30533402,0.16632911,0.30533402,0.15143117,0.30533402,0.40866154,0.028273907,0.28663099,1,0,Warm,1,0.91203186,Dorado,Dor,Goldfish
14,TOI-700 c,Transit,Transiting Exoplanet Survey Satellite (TESS),2020,3/4/2024,7.27,,,0,M-R relationship,2.6,-0.13,0.14,0,16.051137,-2e-05,2e-05,0,0.0929,-0.0015,0.0015,0,0.068,-0.049,0.07,0,88.903,-0.087,0.071,0,30.0,-120.0,120.0,0,TOI-700,,,M2.5 V,97.095716,-65.578615,06h28m22.97s,-65d34m43.01s,13.151,-0.069,0.069,31.1265,-0.0206,0.0206,3459.0,-65.0,65.0,0,0.42,-0.02,0.02,0,0.42,-0.02,0.02,0,-0.07,-0.11,0.11,0,1.5,,,-1,-1.64,-0.046,0.047,0,4.81,-0.04,0.03,-1,1.6721704,2.7961538,1.0754438,0.41363223,0.00224033,0.093114785,0.0865828,0.0992172,0.092953778,2.6605718,2.3271591,3.0558832,325.06199,314.63442,336.80916,,355.33013,380.37302,Neptunian,M,06 28 22.97,-65 34 43.01,0.022908677,0.12385633,0.32205817,0.15688173,0.30533402,0.16632911,0.30533402,0.15143117,0.30533402,0.40866154,0.028273907,0.28663099,0,0,Hot,0,0.55093562,Dorado,Dor,Goldfish
15,TOI-1266 c,Transit,Transiting Exoplanet Survey Satellite (TESS),2020,3/4/2024,2.2,-1.5,2.0,0,Mass,1.56,-0.13,0.15,0,18.80151,-0.00069,0.00067,0,0.1058,-0.0024,0.0023,0,0.04,-0.03,0.03,0,89.3,-0.1,0.1,0,0.0,,,0,TOI-1266,,,M3,197.99658,65.833697,13h11m59.18s,+65d50m01.31s,12.941,-0.049,0.049,36.0118,-0.0295,0.0295,3600.0,-150.0,150.0,0,0.45,-0.03,0.03,0,0.42,-0.02,0.02,0,-0.5,-0.5,0.5,0,7.9,-5.2,4.2,0,-1.58,-0.013,0.012,0,4.85,-0.05,0.05,0,1.1875422,1.4102564,0.90401052,0.57949392,0.001724298,0.10588464,0.101568,0.110032,0.10582117,2.35167,2.172511,2.5496831,315.36495,309.27172,321.90021,356.15516,349.27381,363.5357,Terran,M,13 11 59.18,+65 50 01.31,0.02630268,0.13247404,0.34207078,0.16779788,0.32430852,0.17787483,0.32430852,0.16197283,0.32430852,0.43788873,0.036861771,0.38687161,0,0,Hot,0,0.6755864,Draco,Dra,Dragon
16,HD 219134 g,Radial Velocity,Multiple Observatories,2015,11/18/2015,10.80622,-1.27132,1.27132,0,Msini,3.28,,,0,94.2,-0.2,0.2,0,0.3753,-0.0004,0.0004,0,0.0,,,0,,,,0,0.0,,,0,HD 219134,HD 219134,HIP 114622,K3 V,348.3372,57.169626,23h13m20.93s,+57d10m10.65s,5.56911,-0.023,0.023,6.53127,-0.00385,0.00384,4913.0,,,0,0.79,-0.02,0.04,0,0.77,-0.02,0.02,0,0.08,,,0,12.46,,,0,-0.509,,,0,4.51,,,0,1.8150976,3.2945793,1.0044449,0.3062332,0.008977996,0.3753,0.3753,0.3753,0.3753,2.1990893,2.1990893,2.1990893,310.21331,310.21331,310.21331,,350.33719,350.33719,Neptunian,K,23 13 20.93,+57 10 10.65,0.30974193,0.43769797,1.0619757,0.55440993,1.0068478,0.58677999,1.0068478,0.53522389,1.0068478,1.5026705,0.42432694,0.50352404,0,0,Hot,0,0.53941786,Cassiopeia,Cas,Cassiopeia
17,K2-155 d,Transit,K2,2018,4/25/2018,4.27,,,0,M-R relationship,1.9,-0.2,0.7,0,40.718,-0.005,0.005,0,0.1937,-0.0059,0.0064,0,,,,0,89.61,-0.48,0.27,0,,,,0,K2-155,,,K7,65.469614,21.353263,04h21m52.71s,+21d21m11.75s,12.773,-0.114,0.114,72.7998,-0.2841,0.2864,4258.0,-150.0,150.0,0,0.65,-0.03,0.06,0,0.58,-0.03,0.06,0,-0.3,-0.2,0.2,0,,,,0,-1.229,-0.108,0.086,0,4.6,-0.3,0.3,0,1.4991226,2.2473684,1.1828255,0.62253973,0.003628717,0.1937,0.1937,0.1937,0.1937,1.5730436,1.5730436,1.5730436,285.28892,285.28892,285.28892,322.189,322.189,322.189,Superterran,K,04 21 52.71,+21 21 11.75,0.059020108,0.19577211,0.48926531,0.24797605,0.46386498,0.26266144,0.46386498,0.23939094,0.46386498,0.65593947,0.12904923,0.39962769,0,0,Hot,0,0.72989462,Taurus,Tau,Bull
18,TOI-700 d,Transit,Transiting Exoplanet Survey Satellite (TESS),2020,2/16/2024,1.25,,,0,M-R relationship,1.073,-0.054,0.059,0,37.42396,-0.00035,0.00039,0,0.1633,-0.0027,0.0027,0,0.042,-0.03,0.045,0,89.8,-0.1,0.12,0,10.0,-140.0,120.0,0,TOI-700,,,M2.5 V,97.095716,-65.578615,06h28m22.97s,-65d34m43.01s,13.151,-0.069,0.069,31.1265,-0.0206,0.0206,3459.0,-65.0,65.0,0,0.42,-0.02,0.02,0,0.42,-0.02,0.02,0,-0.07,-0.11,0.11,0,1.5,,,-1,-1.64,-0.046,0.047,0,4.81,-0.04,0.03,-1,1.0793322,1.1649581,1.0857018,1.0118377,0.002250905,0.16344403,0.1564414,0.1701586,0.16333603,0.85982688,0.79121077,0.93604475,245.2216,240.25518,250.56699,276.93926,271.33047,282.97605,Terran,M,06 28 22.97,-65 34 43.01,0.022908677,0.12385633,0.32205817,0.15688173,0.30533402,0.16632911,0.30533402,0.15143117,0.30533402,0.40866154,0.028273907,0.28663099,1,1,Warm,1,0.94117592,Dorado,Dor,Goldfish
19,GJ 357 d,Radial Velocity,Multiple Observatories,2019,7/29/2019,6.1,-1.0,1.0,0,Msini,2.34,,,0,55.661,-0.055,0.055,0,0.204,-0.015,0.015,0,,,,0,,,,0,,,,0,GJ 357,,HIP 47103,M2.5 V,144.00746,-21.665063,09h36m01.79s,-21d39m54.23s,10.91,-0.1,0.1,9.44181,-0.00511,0.00511,3505.0,-51.0,51.0,0,0.34,-0.01,0.01,0,0.34,-0.02,0.02,0,-0.12,-0.16,0.16,0,,,,0,-1.798,-0.01,0.01,0,4.94,-0.07,0.07,0,1.6145704,2.6068376,1.1140332,0.47608255,0.005341941,0.204,0.204,0.204,0.204,0.38259533,0.38259533,0.38259533,200.34782,200.34782,200.34782,226.26138,226.26138,226.26138,Superterran,M,09 36 01.79,-21 39 54.23,0.015922087,0.10319869,0.26773515,0.13071604,0.25383224,0.13858076,0.25383224,0.1261758,0.25383224,0.34069343,0.028517873,0.32199127,1,1,Warm,2,0.57551752,Hydra,Hya,Water Snake
20,tau Cet e,Radial Velocity,Multiple Observatories,2017,8/14/2017,3.93,-0.64,0.83,0,Msini,1.81,,,0,162.87,-0.46,1.08,0,0.538,-0.06,0.06,0,0.18,-0.14,0.18,0,,,,0,22.35,-45.84,73.91,0,tau Cet,HD 10700,HIP 8102,G8.5V,26.009303,-15.933799,01h44m02.23s,-15d56m01.68s,3.49607,-0.023,0.023,3.60304,-0.00675,0.00678,5310.0,-17.0,17.0,0,0.78,-0.01,0.01,0,0.83,-0.02,0.02,0,-0.52,-0.01,0.01,0,12.12,,,-1,-0.305,-0.003,0.003,0,4.52,-0.01,0.02,-1,1.4735232,2.1712707,1.1995971,0.66276082,0.007565089,0.5467156,0.44116,0.63484,0.54020242,1.7401533,1.2293384,2.5457031,290.78463,268.23631,321.77452,328.39554,302.93076,363.39375,Superterran,G,01 44 02.23,-15 56 01.68,0.49545019,0.54266377,1.2969635,0.68735924,1.2296387,0.72717395,1.2296387,0.66355306,1.2296387,1.900482,0.83572862,0.4990838,0,0,Hot,0,0.72066764,Cetus,Cet,Whale
21,Kepler-1097 b,Transit,Kepler,2016,4/16/2019,10.7,,,0,M-R relationship,3.26,-0.26,0.26,0,187.74703,-0.001894,0.001894,0,0.5791,,,0,0.0,,,0,90.0,,,0,,,,0,Kepler-1097,,,,281.59413,42.596395,18h46m22.59s,+42d35m47.02s,15.652,-0.023,0.023,719.802,-12.404,12.838,5211.0,-86.77,77.13,0,0.82,-0.06,0.04,0,0.79,-0.05,0.05,0,-0.11,-0.176,0.17,0,4.9,-3.1,6.12,0,-0.404,,,0,4.57,-0.06,0.04,0,1.8116867,3.2822086,1.0068125,0.30883818,0.013637312,0.5791,0.5791,0.5791,0.5791,1.1762317,1.1762317,1.1762317,265.29125,265.29125,265.29125,,299.60478,299.60478,Neptunian,K,18 46 22.59,+42 35 47.02,0.3944573,0.4867658,1.1674662,0.61655807,1.1068634,0.65234009,1.1068634,0.5952097,1.1068634,1.6957576,0.71686825,0.43637728,1,0,Warm,0,0.62052308,Lyra,Lyr,Lyre
22,K2-133 e,Transit,K2,2019,5/20/2019,3.64,,,0,M-R relationship,1.73,-0.13,0.14,0,26.5841,-0.0017,0.0018,0,0.1346,-0.0011,0.0011,0,,,,0,89.164,-0.01,0.012,0,,,,0,K2-133,,,M1.5 V,70.149377,25.009813,04h40m35.85s,+25d00m35.33s,14.073,-0.014,0.014,75.1703,-0.2012,0.2012,3655.0,-80.0,80.0,0,0.46,-0.01,0.01,0,0.46,-0.02,0.02,0,,,,0,,,,0,-1.479,-0.017,0.017,0,4.77,-0.01,0.01,0,1.4505331,2.1040462,1.2162117,0.70301254,0.002682943,0.1346,0.1346,0.1346,0.1346,1.8319342,1.8319342,1.8319342,296.36518,296.36518,296.36518,334.6979,334.6979,334.6979,Superterran,M,04 40 35.85,+25 00 35.33,0.033189446,0.14869237,0.38289843,0.188341,0.36301661,0.19963916,0.36301661,0.18180477,0.36301661,0.49188521,0.040812618,0.35612604,0,0,Hot,0,0.7191063,Taurus,Tau,Bull
23,GJ 3293 d,Radial Velocity,La Silla Observatory,2017,3/29/2017,7.6,-1.05,1.05,0,Msini,2.67,,,0,48.1345,-0.0661,0.0628,0,0.19394,-0.00018,0.00017,0,0.12,-0.09,0.13,0,,,,0,,,,0,GJ 3293,,,M2.5,67.148443,-25.17134,04h28m35.63s,-25d10m16.82s,11.945,-0.037,0.037,20.1903,-0.0216,0.0216,3466.0,-49.0,49.0,0,0.42,,,0,0.4,-0.03,0.03,0,0.02,-0.09,0.09,0,,,,0,-1.658,-0.044,0.114,0,4.78,-0.01,0.01,0,1.6871402,2.8464419,1.0660831,0.39928207,0.004481844,0.19533637,0.1706672,0.2172128,0.19429075,0.5885927,0.46583184,0.75457059,222.52235,210.45391,237.42403,251.30403,237.67462,268.13314,Superterran,M,04 28 35.63,-25 10 16.82,0.021978599,0.12130586,0.31531767,0.15365123,0.29894361,0.16290283,0.29894361,0.14831313,0.29894361,0.40027988,0.028615982,0.345489,1,1,Warm,2,0.6297766,Eridanus,Eri,River
