,P_NAME,P_DETECTION,P_DISCOVERY_FACILITY,P_YEAR,P_UPDATE,P_MASS,P_MASS_ERROR_MIN,P_MASS_ERROR_MAX,P_MASS_LIMIT,P_MASS_ORIGIN,P_RADIUS,P_RADIUS_ERROR_MIN,P_RADIUS_ERROR_MAX,P_RADIUS_LIMIT,P_PERIOD,P_PERIOD_ERROR_MIN,P_PERIOD_ERROR_MAX,P_PERIOD_LIMIT,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_ERROR_MIN,P_SEMI_MAJOR_AXIS_ERROR_MAX,P_SEMI_MAJOR_AXIS_LIMIT,P_ECCENTRICITY,P_ECCENTRICITY_ERROR_MIN,P_ECCENTRICITY_ERROR_MAX,P_ECCENTRICITY_LIMIT,P_INCLINATION,P_INCLINATION_ERROR_MIN,P_INCLINATION_ERROR_MAX,P_INCLINATION_LIMIT,P_OMEGA,P_OMEGA_ERROR_MIN,P_OMEGA_ERROR_MAX,P_OMEGA_LIMIT,S_NAME,S_NAME_HD,S_NAME_HIP,S_TYPE,S_RA,S_DEC,S_RA_STR,S_DEC_STR,S_MAG,S_MAG_ERROR_MIN,S_MAG_ERROR_MAX,S_DISTANCE,S_DISTANCE_ERROR_MIN,S_DISTANCE_ERROR_MAX,S_TEMPERATURE,S_TEMPERATURE_ERROR_MIN,S_TEMPERATURE_ERROR_MAX,S_TEMPERATURE_LIMIT,S_MASS,S_MASS_ERROR_MIN,S_MASS_ERROR_MAX,S_MASS_LIMIT,S_RADIUS,S_RADIUS_ERROR_MIN,S_RADIUS_ERROR_MAX,S_RADIUS_LIMIT,S_METALLICITY,S_METALLICITY_ERROR_MIN,S_METALLICITY_ERROR_MAX,S_METALLICITY_LIMIT,S_AGE,S_AGE_ERROR_MIN,S_AGE_ERROR_MAX,S_AGE_LIMIT,S_LOG_LUM,S_LOG_LUM_ERROR_MIN,S_LOG_LUM_ERROR_MAX,S_LOG_LUM_LIMIT,S_LOG_G,S_LOG_G_ERROR_MIN,S_LOG_G_ERROR_MAX,S_LOG_G_LIMIT,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_FLUX_MIN,P_FLUX_MAX,P_TEMP_EQUIL,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,P_TEMP_SURF,P_TEMP_SURF_MIN,P_TEMP_SURF_MAX,P_TYPE,S_TYPE_TEMP,S_RA_TXT,S_DEC_TXT,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_HZ_CON0_MIN,S_HZ_CON0_MAX,S_HZ_CON1_MIN,S_HZ_CON1_MAX,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,P_ESI,S_CONSTELLATION,S_CONSTELLATION_ABR,S_CONSTELLATION_ENG
233,K2-239 c,Transit,K2,2018,6/26/2018,0.972,,,0,M-R relationship,1.0,-0.1,0.1,0,7.775,-0.001,0.001,0,0.0576,-0.0009,0.0009,0,,,,0,88.77,-0.57,0.7,0,,,,0,K2-239,,,M3.0 V,160.59413,4.4413751,10h42m22.59s,+04d26m28.95s,14.632,-0.126,0.126,31.0849,-0.0826,0.0831,3420.0,-18.0,18.0,0,0.4,-0.01,0.01,0,0.36,-0.01,0.01,0,-0.1,-0.1,0.1,0,,,,0,-1.796,-0.028,0.026,0,4.9,-0.1,0.1,0,0.9859006,0.972,0.972,0.972,0.000774598,0.0576,0.0576,0.0576,0.0576,4.8211987,4.8211987,4.8211987,377.47524,377.47524,377.47524,426.29897,426.29897,426.29897,Terran,M,10 42 22.59,+04 26 28.95,0.01599558,0.10354201,0.26975169,0.1311506,0.2557435,0.1390543,0.2557435,0.12659293,0.2557435,0.34147881,0.026015017,0.33991562,0,0,Hot,0,0.53583521,Sextans,Sex,Sextant
234,K2-332 b,Transit,K2,2016,8/23/2021,5.48,,,0,M-R relationship,2.2,-0.15,0.19,0,17.70632,-6.3e-05,6.3e-05,0,0.085911187,,,0,,,,0,,,,0,,,,0,K2-332,,,,135.88327,14.250499,09h03m31.98s,+14d15m01.80s,,,,123.202,-1.379,1.409,3315.0,-152.0,137.0,0,0.27,-0.02,0.01,0,0.28,-0.01,0.02,0,0.09,-0.17,0.15,0,,,,0,-2.065,-0.129,0.1,0,4.97,-0.03,0.03,0,1.5782614,2.4909091,1.1322314,0.51465064,0.002344088,0.085911187,0.085911187,0.085911187,0.085911187,1.1665425,1.1665425,1.1665425,264.74322,264.74322,264.74322,298.98587,298.98587,298.98587,Superterran,M,09 03 31.98,+14 15 01.80,0.008609938,0.076053351,0.19915248,0.096332019,0.18880995,0.10214869,0.18880995,0.09298214,0.18880995,0.25053232,0.019053861,0.29817579,1,0,Warm,2,0.72932121,Cancer,Cnc,Crab
235,Kepler-1840 b,Transit,Kepler,2021,12/5/2021,8.13,,,0,M-R relationship,2.778,,,0,131.19,,,0,0.4644,,,0,0.0,,,0,89.97,,,0,,,,0,Kepler-1840,,,,298.59488,41.435964,19h54m22.77s,+41d26m09.47s,15.192,-0.15,0.15,513.107,-6.7205,6.7205,4898.0,-88.0,78.0,0,0.77,-0.03,0.05,0,0.8,-0.06,0.03,0,0.14,-0.15,0.15,0,14.0,-3.8,3.8,0,-0.587,,,0,4.52,-0.02,0.07,0,1.7107209,2.9265659,1.0534794,0.37922226,0.010190858,0.4644,0.4644,0.4644,0.4644,1.2000949,1.2000949,1.2000949,266.62668,266.62668,266.62668,,301.11294,301.11294,Neptunian,K,19 54 22.77,+41 26 09.47,0.25882129,0.40037867,0.97202897,0.50713958,0.92157027,0.53675897,0.92157027,0.48958967,0.92157027,1.373611,0.41001214,0.50902966,1,0,Warm,0,0.66106477,Cygnus,Cyg,Swan
236,K2-264 c,Transit,K2,2018,2/5/2019,7.6,,,0,M-R relationship,2.668,-0.194,0.201,0,19.660302,-0.003337,0.003496,0,0.11283,-0.00097,0.00095,0,0.45,,,1,89.38,-0.13,0.22,0,,,,0,K2-264,,,M2.5 V,131.35835,19.698401,08h45m26.00s,+19d41m54.24s,16.701,-0.0462,0.0462,185.605,-2.075,2.122,3660.0,-45.0,80.0,0,0.5,-0.01,0.01,0,0.47,-0.01,0.01,0,-0.013,-0.18,0.18,0,,,,0,-1.481,-0.016,0.016,0,4.78,-0.01,0.01,0,1.6877724,2.8485757,1.0676821,0.40018068,0.001537637,0.12425404,0.0620565,0.1636035,0.11589624,2.9059322,1.2342832,8.5787783,319.01788,268.50564,435.96946,,303.23493,492.359,Neptunian,M,08 45 26.00,+19 41 54.24,0.033036954,0.14833939,0.38189417,0.18789392,0.36206453,0.19916412,0.36206453,0.18137338,0.36206453,0.49075391,0.042324884,0.366163,0,0,Hot,0,0.5283565,Cancer,Cnc,Crab
237,Kepler-1700 b,Transit,Kepler,2020,9/8/2020,8.76,,,0,M-R relationship,2.901,,,0,234.239,,,0,0.7576,,,0,0.0,,,0,89.02,,,0,,,,0,Kepler-1700,,,,286.94974,45.353763,19h07m47.94s,+45d21m13.55s,13.764,-0.057,0.057,717.597,-8.473,8.675,6031.0,-122.0,122.0,0,1.12,,,0,1.09,,,0,0.16,-0.15,0.15,0,,,,0,0.154,,,0,4.41,,,0,1.7377136,3.0196484,1.0408991,0.35880701,0.015042519,0.7576,0.7576,0.7576,0.7576,2.4838197,2.4838197,2.4838197,319.80093,319.80093,319.80093,,361.1649,361.1649,Neptunian,F,19 07 47.94,+45 21 13.55,1.4256076,0.8823836,2.0660707,1.1176404,1.9588231,1.1815838,1.9588231,1.0788245,1.9588231,3.2237679,3.2537996,0.47909739,0,0,Hot,0,0.54235514,Lyra,Lyr,Lyre
238,BD-11 4672 c,Radial Velocity,Roque de los Muchachos Observatory,2020,7/17/2020,15.37,-2.81,2.97,0,Msini,4.04,,,0,74.2,-0.08,0.06,0,0.3,-0.01,0.01,0,0.4,-0.15,0.13,0,,,,0,245.92,-26.58,23.02,0,BD-11 4672,,HIP 90979,K7V,278.36887,-11.637048,18h33m28.53s,-11d38m13.37s,10.03,-0.03,0.03,27.1665,-0.0346,0.0346,4550.0,-110.0,110.0,0,0.65,-0.03,0.03,0,0.64,-0.02,0.02,0,-0.35,-0.15,0.15,0,7.4,-4.9,4.5,0,-0.804,-0.05,0.05,0,4.64,-0.03,0.03,0,1.9505013,3.8044554,0.94169689,0.23309329,0.005167866,0.324,0.18,0.42,0.3063411,1.9037848,0.89022835,4.8467988,289.73241,247.44294,377.97533,,279.44792,426.86374,Neptunian,K,18 33 28.53,-11 38 13.37,0.15703628,0.31633565,0.77974595,0.40068822,0.73926729,0.42426567,0.73926729,0.38682274,0.73926729,1.0699507,0.21311886,0.43258147,0,0,Hot,0,0.52005613,Scutum,Sct,Shield
239,Kepler-1690 b,Transit,Kepler,2020,9/8/2020,8.3,,,0,M-R relationship,2.811,,,0,234.636,,,0,0.7097,,,0,0.0,,,0,89.99,,,0,,,,0,Kepler-1690,,,,288.15666,41.877942,19h12m37.60s,+41d52m40.59s,14.882,-0.114,0.114,703.789,-9.236,9.481,5404.0,-122.0,122.0,0,0.94,,,0,0.86,,,0,0.0,-0.15,0.15,0,8.5,-3.1,3.1,0,-0.243,,,0,4.54,,,0,1.7183381,2.9526859,1.0504041,0.3736763,0.014672703,0.7097,0.7097,0.7097,0.7097,1.1346199,1.1346199,1.1346199,262.91315,262.91315,262.91315,,296.91909,296.91909,Neptunian,G,19 12 37.60,+41 52 40.59,0.57147864,0.57981116,1.3813391,0.73440993,1.3096346,0.77687476,1.3096346,0.70896692,1.3096346,2.0410976,1.045229,0.5006151,1,1,Warm,0,0.66103435,Lyra,Lyr,Lyre
240,Kepler-1874 b,Transit,Kepler,2021,12/5/2021,5.52,,,0,M-R relationship,2.211,,,0,56.5732,,,0,0.2633,,,0,0.0,,,0,88.76,,,0,,,,0,Kepler-1874,,,,286.37182,43.692081,19h05m29.24s,+43d41m31.49s,15.434,-0.217,0.217,408.007,,,4701.0,-84.0,74.0,0,0.76,-0.03,0.04,0,0.78,-0.04,0.02,0,0.24,-0.15,0.15,0,13.8,-3.8,3.8,0,-0.577,,,0,4.54,-0.02,0.05,0,1.5800658,2.4966079,1.1291759,0.51070822,0.005100483,0.2633,0.2633,0.2633,0.2633,3.8203072,3.8203072,3.8203072,356.14289,356.14289,356.14289,402.20743,402.20743,402.20743,Superterran,K,19 05 29.24,+43 41 31.49,0.26485001,0.40844745,0.99998937,0.51736134,0.94807827,0.54770451,0.94807827,0.49945959,0.94807827,1.3895167,0.2910175,0.50560251,0,0,Hot,0,0.50777843,Lyra,Lyr,Lyre
241,Kepler-1881 b,Transit,Kepler,2021,12/5/2021,9.17,,,0,M-R relationship,2.981,,,0,159.394,,,0,0.5368,,,0,0.0,,,0,89.96,,,0,,,,0,Kepler-1881,,,,293.63931,44.982545,19h34m33.43s,+44d58m57.16s,15.898,-0.229,0.229,1057.21,-40.825,40.825,5135.0,-77.0,84.0,0,0.81,-0.03,0.06,0,0.87,-0.08,0.04,0,0.12,-0.15,0.15,0,0.9,-4.0,4.0,0,-0.307,,,0,4.46,-0.04,0.09,0,1.7538954,3.0761489,1.0319185,0.3461652,0.012056628,0.5368,0.5368,0.5368,0.5368,1.7114924,1.7114924,1.7114924,291.36908,291.36908,291.36908,,329.05559,329.05559,Neptunian,K,19 34 33.43,+44 58 57.16,0.4931738,0.54641262,1.3142126,0.69211039,1.245992,0.73233747,1.245992,0.66815025,1.245992,1.896111,0.62655342,0.32766264,0,0,Hot,0,0.6022108,Cygnus,Cyg,Swan
242,Kepler-1038 b,Transit,Kepler,2016,4/16/2019,12.2,,,0,M-R relationship,3.53,-0.39,0.52,0,148.46034,-0.0006894,0.0006894,0,0.5238,,,0,0.0,,,0,89.66,,,0,,,,0,Kepler-1038,,,,298.97215,44.13235,19h55m53.32s,+44d07m56.46s,15.03,-0.229,0.229,584.136,-9.618,9.939,5335.0,-212.93,253.32,0,0.87,-0.06,0.07,0,0.83,-0.06,0.09,0,-0.04,-0.176,0.158,0,4.27,-2.57,5.42,0,-0.362,,,0,4.55,-0.08,0.04,0,1.8590564,3.4560907,0.97906251,0.27735482,0.012634681,0.5238,0.5238,0.5238,0.5238,1.5836858,1.5836858,1.5836858,285.77022,285.77022,285.77022,,322.73255,322.73255,Neptunian,G,19 55 53.32,+44 07 56.46,0.43451022,0.50750504,1.2118895,0.64282544,1.1489809,0.68004286,1.1489809,0.62056003,1.1489809,1.7797695,0.90474552,0.43497994,1,0,Warm,0,0.57399691,Cygnus,Cyg,Swan
